Servicio,Distrito,Medidor
419055,1,9117346
2921137,1,9116459
419673,1,9116539
887299,1,9119503
419355,1,9119304
966415,6,9115740
375004,45,9118322
419428,1,9118290
388311,47,9102947
430701,1,9118239
1076032,1,9118595
127349,35,9115652
1040172,1,9115925
586577,1,9119634
330329,36,9118867
3019646,1,9119059
419812,1,9115976
3026148,24,9117447
680610,1,9117785
1161982,47,9119592
360146,23,9118985
279263,28,9120368
362516,49,9115714
886890,1,9117187
943410,47,9102795
419050,1,9102837
895062,1,9115500
3030864,1,9119078
868412,1,9118564
2735399,1,9119097
2917806,1,9117976
3017564,1,
3036144,28,9117474
1062126,47,9119882
419601,1,9117363
875360,18,9103083
127640,37,9117495
2905952,8,9118171
419411,1,9118288
100548,18,9117914
2756276,22,9117693
900694,1,9118135
2983633,18,9116842
100425,18,9116091
644887,1,9117032
420004,1,9116721
419941,1,9116738
419530,1,9117310
846968,47,9118394
363101,47,9118373
631095,1,9119057
1299789,1,9119813
3039857,6,9118243
279451,28,9118821
2997777,47,9117632
419327,1,9118148
419525,1,9116386
928454,1,9102972
1161304,28,9119641
3040043,26,9119197
124465,18,9118777
1347653,29,9117997
421416,1,9117736
2833011,8,9119118
168923,15,9022201
419794,1,9118965
419680,1,9117264
785818,1,9115993
2920660,8,9118918
653227,1,9116809
857016,28,9102813
3016731,1,9118429
279509,28,9119639
891145,1,9115655
2725150,46,9118350
419792,1,9116576
421422,1,9102978
1215418,21,9118352
419668,1,9117601
1367609,1,9115638
2765952,29,9118214
2878878,24,9118521
2770012,1,9117412
421605,1,9119565
957526,1,9120256
3022659,1,9119818
3031561,1,9119792
2996116,41,9119558
896329,1,9116820
420038,1,9117105
645581,1,9116530
1570359,28,9120073
362390,45,9117712
2811526,10,9027591
2834518,1,9116847
2776840,8,9119662
421475,1,9118874
951442,1,9116572
827518,1,9117069
1297296,1,9117068
279212,28,9117458
732143,1,9119744
882692,1,9117201
360438,26,9115747
1163262,1,9119820
523036,1,9116711
1373559,1,9102939
419075,1,9103052
419039,1,9102910
1071414,47,9119743
2868202,46,9118590
2783679,8,9118460
204256,8,9012453
392843,49,9117775
600397,1,9118328
418819,1,9117202
1177384,1,9102793
958624,47,9119346
419357,1,9118568
839621,1,9116688
1015040,1,9119601
1014534,18,9119456
644816,1,9118463
360295,24,9102935
611985,1,9117163
127149,35,9117563
100483,18,9103069
410450,47,9120060
1449344,1,9116777
419417,1,9117708
1376597,1,9116987
1416515,1,9118516
989121,1,9118589
2942277,1,9116767
715678,1,9102913
1193693,1,9103070
2857352,1,9117305
